_id,Serial No,Timestamp,Temperature,Humidity,latitude,longitude
78,1392927948,2014-02-21T01:55:48,21.9,74,13.00361,77.61818
79,1392928255,2014-02-21T02:00:55,21.9,75,13.00361,77.61818
80,1392928563,2014-02-21T02:06:03,21.8,75,13.00361,77.61818
81,1392928870,2014-02-21T02:11:10,21.8,75,13.00361,77.61818
82,1392929178,2014-02-21T02:16:18,21.8,75,13.00361,77.61818
83,1392929435,2014-02-21T02:20:35,21.8,75,13.00361,77.61818
84,1392929743,2014-02-21T02:25:43,21.8,75,13.00361,77.61818
85,1392930050,2014-02-21T02:30:50,21.8,75,13.00361,77.61818
86,1392930357,2014-02-21T02:35:57,21.8,75,13.00361,77.61818
87,1392930665,2014-02-21T02:41:05,21.7,75,13.00361,77.61818
88,1392930972,2014-02-21T02:46:12,21.7,75,13.00361,77.61818
89,1392931281,2014-02-21T02:51:21,21.7,75,13.00361,77.61818
90,1392931589,2014-02-21T02:56:29,21.7,75,13.00361,77.61818
91,1392931895,2014-02-21T03:01:35,21.7,75,13.00361,77.61818
92,1392932203,2014-02-21T03:06:43,21.7,75,13.00361,77.61818
93,1392932510,2014-02-21T03:11:50,21.6,75,13.00361,77.61818
94,1392932766,2014-02-21T03:16:06,21.6,75,13.00361,77.61818
95,1392933075,2014-02-21T03:21:15,21.6,75,13.00361,77.61818
96,1392933382,2014-02-21T03:26:22,21.5,75,13.00361,77.61818
97,1392933690,2014-02-21T03:31:30,21.5,75,13.00361,77.61818
98,1392933997,2014-02-21T03:36:37,21.5,75,13.00361,77.61818
99,1392934305,2014-02-21T03:41:45,21.5,76,13.00361,77.61818
100,1392934613,2014-02-21T03:46:53,21.4,76,13.00361,77.61818
101,1392934920,2014-02-21T03:52:00,21.4,76,13.00361,77.61818
102,1392935228,2014-02-21T03:57:08,21.4,76,13.00361,77.61818
103,1392935534,2014-02-21T04:02:14,21.4,76,13.00361,77.61818
104,1392935842,2014-02-21T04:07:22,21.4,76,13.00361,77.61818
105,1392936151,2014-02-21T04:12:31,21.4,76,13.00361,77.61818
106,1392936407,2014-02-21T04:16:47,21.4,76,13.00361,77.61818
107,1392936715,2014-02-21T04:21:55,21.4,76,13.00361,77.61818
108,1392937022,2014-02-21T04:27:02,21.4,76,13.00361,77.61818
109,1392937330,2014-02-21T04:32:10,21.3,76,13.00361,77.61818
110,1392937637,2014-02-21T04:37:17,21.3,76,13.00361,77.61818
111,1392937945,2014-02-21T04:42:25,21.3,76,13.00361,77.61818
112,1392938253,2014-02-21T04:47:33,21.2,76,13.00361,77.61818
113,1392938560,2014-02-21T04:52:40,21.2,76,13.00361,77.61818
114,1392938868,2014-02-21T04:57:48,21.2,76,13.00361,77.61818
115,1392939176,2014-02-21T05:02:56,21.2,76,13.00361,77.61818
116,1392939483,2014-02-21T05:08:03,21.2,76,13.00361,77.61818
117,1392939791,2014-02-21T05:13:11,21.2,76,13.00361,77.61818
118,1392940047,2014-02-21T05:17:27,21.1,76,13.00361,77.61818
119,1392940354,2014-02-21T05:22:34,21.1,76,13.00361,77.61818
120,1392940661,2014-02-21T05:27:41,21,76,13.00361,77.61818
121,1392940969,2014-02-21T05:32:49,21,76,13.00361,77.61818
122,1392941277,2014-02-21T05:37:57,21,76,13.00361,77.61818
123,1392941584,2014-02-21T05:43:04,20.9,76,13.00361,77.61818
124,1392941892,2014-02-21T05:48:12,20.9,76,13.00361,77.61818
125,1392942199,2014-02-21T05:53:19,20.9,77,13.00361,77.61818
126,1392942507,2014-02-21T05:58:27,20.9,77,13.00361,77.61818
127,1392942815,2014-02-21T06:03:35,20.8,77,13.00361,77.61818
128,1392943122,2014-02-21T06:08:42,20.7,77,13.00361,77.61818
129,1392943430,2014-02-21T06:13:50,20.7,77,13.00361,77.61818
130,1392943686,2014-02-21T06:18:06,20.7,77,13.00361,77.61818
131,1392943994,2014-02-21T06:23:14,20.7,77,13.00361,77.61818
132,1392944302,2014-02-21T06:28:22,20.7,77,13.00361,77.61818
133,1392944609,2014-02-21T06:33:29,20.7,77,13.00361,77.61818
134,1392944917,2014-02-21T06:38:37,20.7,77,13.00361,77.61818
135,1392945224,2014-02-21T06:43:44,20.6,77,13.00361,77.61818
136,1392945532,2014-02-21T06:48:52,20.6,77,13.00361,77.61818
137,1392945840,2014-02-21T06:54:00,20.6,78,13.00361,77.61818
138,1392946147,2014-02-21T06:59:07,20.6,78,13.00361,77.61818
139,1392946455,2014-02-21T07:04:15,20.6,78,13.00361,77.61818
140,1392946762,2014-02-21T07:09:22,20.6,78,13.00361,77.61818
141,1392947070,2014-02-21T07:14:30,20.6,78,13.00361,77.61818
142,1392947326,2014-02-21T07:18:46,20.5,78,13.00361,77.61818
143,1392947633,2014-02-21T07:23:53,20.5,78,13.00361,77.61818
144,1392947941,2014-02-21T07:29:01,20.5,78,13.00361,77.61818
145,1392948249,2014-02-21T07:34:09,20.5,78,13.00361,77.61818
146,1392948557,2014-02-21T07:39:17,20.6,78,13.00361,77.61818
147,1392948864,2014-02-21T07:44:24,20.6,78,13.00361,77.61818
148,1392949171,2014-02-21T07:49:31,20.6,78,13.00361,77.61818
149,1392949480,2014-02-21T07:54:40,20.6,78,13.00361,77.61818
150,1392949787,2014-02-21T07:59:47,20.7,78,13.00361,77.61818
151,1392950094,2014-02-21T08:04:54,20.8,78,13.00361,77.61818
152,1392950402,2014-02-21T08:10:02,20.9,78,13.00361,77.61818
153,1392950709,2014-02-21T08:15:09,21,78,13.00361,77.61818
154,1392950966,2014-02-21T08:19:26,21.1,78,13.00361,77.61818
155,1392951273,2014-02-21T08:24:33,21.1,78,13.00361,77.61818
156,1392951581,2014-02-21T08:29:41,21.2,78,13.00361,77.61818
157,1392951888,2014-02-21T08:34:48,21.3,77,13.00361,77.61818
158,1392952196,2014-02-21T08:39:56,21.4,77,13.00361,77.61818
159,1392952504,2014-02-21T08:45:04,21.5,77,13.00361,77.61818
160,1392952811,2014-02-21T08:50:11,21.6,77,13.00361,77.61818
161,1392953119,2014-02-21T08:55:19,21.7,77,13.00361,77.61818
162,1392953428,2014-02-21T09:00:28,21.8,76,13.00361,77.61818
163,1392953735,2014-02-21T09:05:35,21.9,76,13.00361,77.61818
164,1392954042,2014-02-21T09:10:42,22,76,13.00361,77.61818
165,1392954093,2014-02-21T09:11:33,22,76,13.00361,77.61818
166,1392954401,2014-02-21T09:16:41,22.1,76,13.00361,77.61818
167,1392954708,2014-02-21T09:21:48,22.1,76,13.00361,77.61818
168,1392955016,2014-02-21T09:26:56,22.2,75,13.00361,77.61818
169,1392955323,2014-02-21T09:32:03,22.3,75,13.00361,77.61818
170,1392955631,2014-02-21T09:37:11,22.3,75,13.00361,77.61818
171,1392955785,2014-02-21T09:39:45,22.4,75,13.00361,77.61818
172,1392956092,2014-02-21T09:44:52,22.4,75,13.00361,77.61818
173,1392956399,2014-02-21T09:49:59,22.5,74,13.00361,77.61818
174,1392956708,2014-02-21T09:55:08,22.5,74,13.00361,77.61818
175,1392957015,2014-02-21T10:00:15,22.6,74,13.00361,77.61818
176,1392957320,2014-02-21T10:05:20,22.6,75,13.00361,77.61818
177,1392957628,2014-02-21T10:10:28,22.7,74,13.00361,77.61818
178,1392957937,2014-02-21T10:15:37,22.8,74,13.00361,77.61818
179,1392958245,2014-02-21T10:20:45,22.8,74,13.00361,77.61818
180,1392958552,2014-02-21T10:25:52,22.9,74,13.00361,77.61818
181,1392958860,2014-02-21T10:31:00,23,74,13.00361,77.61818
182,1392959115,2014-02-21T10:35:15,23,73,13.00361,77.61818
183,1392959423,2014-02-21T10:40:23,23.1,73,13.00361,77.61818
184,1392959733,2014-02-21T10:45:33,23.2,73,13.00361,77.61818
185,1392960040,2014-02-21T10:50:40,23.2,73,13.00361,77.61818
186,1392960347,2014-02-21T10:55:47,23.3,72,13.00361,77.61818
187,1392960655,2014-02-21T11:00:55,23.3,72,13.00361,77.61818
188,1392960962,2014-02-21T11:06:02,23.5,72,13.00361,77.61818
189,1392961270,2014-02-21T11:11:10,23.6,72,13.00361,77.61818
190,1392961578,2014-02-21T11:16:18,23.6,71,13.00361,77.61818
